ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,ingested_at
CXCL11,NM_005409.4,0.9334,0.670628,0.42898,-5.836,0.116611,,2026-04-21T13:38:22.490663+00:00
IL7R,NM_002185.3,0.9334,0.670894,0.42861,-5.836,0.070696,,2026-04-21T13:38:22.490663+00:00
PYCR1,NM_006907.2,0.9334,0.671087,-0.42834,-5.836,-0.113952,,2026-04-21T13:38:22.490663+00:00
GATA6,NM_005257.3,0.9334,0.671961,0.42713,-5.836,0.101286,,2026-04-21T13:38:22.490663+00:00
TRDV3,,0.9334,0.672145,-0.42687,-5.836,-0.202243,ENST00000535880.1,2026-04-21T13:38:22.490663+00:00
MAPK9,NM_139069.2,0.9334,0.674299,0.42389,-5.838,0.045525,,2026-04-21T13:38:22.490663+00:00
NUP54,NM_001278603.1,0.9334,0.676478,0.42088,-5.839,0.081416,,2026-04-21T13:38:22.490663+00:00
TLR2,NM_003264.3,0.9334,0.676824,0.4204,-5.839,0.120948,,2026-04-21T13:38:22.490663+00:00
BPI,NM_001725.2,0.9334,0.677667,0.41923,-5.84,0.123449,,2026-04-21T13:38:22.490663+00:00
NCR1,NM_004829.5,0.9338,0.679402,0.41684,-5.84,0.083209,,2026-04-21T13:38:22.490663+00:00
TNFSF4,NM_003326.2,0.9338,0.680857,0.41483,-5.841,0.08587,,2026-04-21T13:38:22.490663+00:00
IL12RB1,NM_005535.1,0.9354,0.68354,-0.41113,-5.843,-0.044897,,2026-04-21T13:38:22.490663+00:00
