Symbol,Description,GeneID,log2(fold change),-log10(Pvalue)
DNAJB7,DnaJ heat shock protein family (Hsp40) member B7,150353,-1.06,1.35
ARHGAP6,Rho GTPase activating protein 6,395,1.608,1.316
PIGA,phosphatidylinositol glycan anchor biosynthesis class A,5277,-1.488,1.383
SCML1,Scm polycomb group protein like 1,6322,-1.462,1.414
BEND2,BEN domain containing 2,139105,1.991,1.658
LANCL3,LanC like family member 3,347404,1.334,1.398
XK,"X-linked Kx blood group antigen, Kell and VPS13A binding protein",7504,1.453,1.35
PPP1R2C,PPP1R2C family member C,80316,-4.383,1.321
TSPYL2,TSPY like 2,64061,-1.444,1.512
PGRMC1,progesterone receptor membrane component 1,10857,1.21,1.545
LINC00892,long intergenic non-protein coding RNA 892,100128420,1.281,2.905
TRNF,tRNA-Phe,4558,1.267,1.545
TRNV,tRNA-Val,4577,1.265,1.388
TRNL1,tRNA-Leu,4567,1.171,1.351
TRNI,tRNA-Ile,4565,1.736,1.545
TRNM,tRNA-Met,4569,1.801,1.967
TRNA,tRNA-Ala,4553,2.722,1.549
TRNC,tRNA-Cys,4511,2.689,1.325
TRNY,tRNA-Tyr,4579,2.631,1.578
TRND,tRNA-Asp,4555,1.398,2.218
TRNE,tRNA-Glu,4556,2.087,3.202
