symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc
TECPR2,9895.0,tectonin beta-propeller repeat containing 2,0.292,0.611699,0.221217,1.0548,197.06,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
DTX2,113878.0,deltex E3 ubiquitin ligase 2,0.292,0.611789,0.19807,1.05462,389.4,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
XRCC5,7520.0,X-ray repair cross complementing 5,0.292,0.611802,0.151267,1.05449,3807.7,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
CZ1P-ASNS,107986827.0,CZ1P-ASNS readthrough,0.292,0.611802,0.195652,1.05444,464.8,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
KCTD18,130535.0,potassium channel tetramerization domain containing 18,0.292,0.611845,0.17463,1.05363,234.01,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PPP1R7,5510.0,protein phosphatase 1 regulatory subunit 7,0.292,0.611845,0.149719,1.05408,1132.31,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
LOC107986086,107986086.0,uncharacterized LOC107986086,0.292,0.611845,0.33344,1.05341,17.59,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SCLT1,132320.0,sodium channel and clathrin linker 1,0.292,0.611845,-0.187914,-1.05415,355.1,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
GLRX,2745.0,glutaredoxin,0.292,0.611845,0.258732,1.05342,1860.21,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ABHD17B,51104.0,"abhydrolase domain containing 17B, depalmitoylase",0.292,0.611845,-0.331583,-1.05356,232.81,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
ALG10,84920.0,"ALG10 alpha-1,2-glucosyltransferase",0.292,0.611845,-0.300858,-1.05383,29.09,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
MBD1,4152.0,methyl-CpG binding domain protein 1,0.292,0.611845,0.139941,1.05334,1193.88,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
AKT1S1,84335.0,AKT1 substrate 1,0.292,0.611845,-0.186147,-1.0536,123.85,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
SLX4IP,128710.0,SLX4 interacting protein,0.292,0.611845,0.182321,1.0534,57.97,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
MFNG,4242.0,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,0.292,0.611845,-0.145618,-1.05384,8991.35,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
TRMU,55687.0,tRNA mitochondrial 2-thiouridylase,0.292,0.611845,0.181385,1.05429,970.24,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
PLS3,5358.0,plastin 3,0.292,0.611845,-0.497637,-1.05331,13.8,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
AP3S1,1176.0,adaptor related protein complex 3 subunit sigma 1,0.292,0.611877,-0.200991,-1.05302,553.95,2026-04-21T13:51:27.123139+00:00,bronze_GSE251849.csv,GSE251849,
